instance,prediction
1,9
2,0
3,9
4,5
5,4
6,1
7,1
8,3
9,8
10,9
11,6
12,1
13,1
14,9
15,1
16,3
17,9
18,9
19,7
20,1
21,6
22,1
23,9
24,7
25,9
26,8
27,1
28,1
29,8
30,9
31,9
32,8
33,8
34,9
35,9
36,1
37,9
38,9
39,1
40,1
41,1
42,7
43,2
44,5
45,9
46,0
47,1
48,1
49,5
50,1
51,9
52,9
53,5
54,9
55,0
56,1
57,8
58,5
59,9
60,1
61,1
62,9
63,0
64,0
65,2
66,0
67,1
68,4
69,0
70,2
71,3
72,1
73,1
74,9
75,5
76,8
77,4
78,1
79,4
80,4
81,7
82,1
83,8
84,5
85,0
86,9
87,8
88,9
89,7
90,4
91,8
92,5
93,1
94,1
95,9
96,1
97,9
98,9
99,0
100,0
101,1
102,8
103,8
104,2
105,5
106,5
107,8
108,5
109,9
110,4
111,1
112,9
113,5
114,5
115,8
116,4
117,8
118,4
119,8
120,9
121,3
122,5
123,5
124,9
125,1
126,1
127,6
128,9
129,4
130,9
131,1
132,1
133,8
134,1
135,8
136,1
137,4
138,2
139,0
140,8
141,5
142,0
143,1
144,9
145,4
146,4
147,9
148,5
149,9
150,1
151,1
152,9
153,9
154,1
155,5
156,0
157,1
158,5
159,5
160,3
161,6
162,8
163,0
164,1
165,1
166,1
167,6
168,1
169,9
170,8
171,5
172,9
173,5
174,0
175,9
176,1
177,1
178,0
179,8
180,5
181,9
182,1
183,4
184,9
185,4
186,1
187,2
188,4
189,9
190,0
191,1
192,9
193,1
194,9
195,1
196,7
197,9
198,7
199,9
200,9
201,5
202,0
203,9
204,0
205,9
206,8
207,8
208,9
209,5
210,0
211,4
212,5
213,0
214,0
215,9
216,0
217,8
218,1
219,1
220,9
221,8
222,1
223,9
224,9
225,4
226,3
227,9
228,5
229,0
230,1
231,9
232,1
233,6
234,0
235,1
236,6
237,5
238,9
239,0
240,1
241,9
242,0
243,9
244,9
245,1
246,1
247,5
248,6
249,4
250,7
251,9
252,1
253,1
254,1
255,9
256,0
257,9
258,4
259,1
260,1
261,4
262,1
263,1
264,1
265,4
266,2
267,9
268,9
269,7
270,1
271,9
272,9
273,9
274,1
275,7
276,2
277,5
278,8
279,9
280,5
281,0
282,6
283,4
284,6
285,3
286,9
287,0
288,1
289,9
290,1
291,3
292,9
293,8
294,8
295,1
296,6
297,1
298,0
299,8
300,9
301,0
302,5
303,9
304,5
305,1
306,1
307,1
308,7
309,0
310,7
311,9
312,4
313,1
314,5
315,1
316,8
317,5
318,5
319,9
320,7
321,1
322,8
323,9
324,9
325,8
326,9
327,9
328,9
329,1
330,5
331,5
332,5
333,9
334,4
335,1
336,6
337,7
338,1
339,9
340,4
341,8
342,9
343,5
344,8
345,0
346,4
347,5
348,4
349,9
350,4
351,9
352,3
353,8
354,8
355,1
356,4
357,5
358,1
359,6
360,1
361,3
362,5
363,2
364,5
365,9
366,2
367,4
368,1
369,1
370,3
371,9
372,5
373,1
374,5
375,1
376,9
377,1
378,6
379,8
380,9
381,1
382,9
383,1
384,1
385,1
386,5
387,4
388,4
389,9
390,0
391,9
392,9
393,0
394,1
395,4
396,1
397,2
398,8
399,9
400,1
401,1
402,9
403,4
404,9
405,8
406,7
407,8
408,9
409,9
410,4
411,5
412,6
413,1
414,1
415,1
416,1
417,9
418,1
419,4
420,5
421,4
422,9
423,1
424,9
425,8
426,0
427,9
428,5
429,0
430,8
431,9
432,0
433,1
434,9
435,9
436,1
437,1
438,9
439,4
440,5
441,1
442,0
443,0
444,1
445,0
446,9
447,8
448,8
449,0
450,9
451,4
452,4
453,1
454,9
455,8
456,0
457,9
458,0
459,1
460,9
461,1
462,8
463,8
464,9
465,8
466,9
467,1
468,8
469,7
470,8
471,9
472,8
473,2
474,9
475,3
476,9
477,5
478,0
479,8
480,6
481,8
482,1
483,1
484,9
485,9
486,4
487,5
488,8
489,9
490,0
491,1
492,5
493,4
494,1
495,8
496,1
497,3
498,0
499,0
500,1
501,9
502,8
503,9
504,4
505,9
506,0
507,9
508,1
509,5
510,9
511,9
512,1
513,1
514,1
515,5
516,0
517,1
518,4
519,9
520,9

confusion matrix
41,2,3,0,0,0,3,0,4,2
0,115,0,1,0,1,2,1,2,3
1,0,4,0,0,1,0,0,3,6
1,2,0,11,1,0,0,0,0,0
4,0,0,1,31,3,1,0,1,9
1,1,1,0,1,43,0,0,0,8
2,0,0,0,2,0,7,0,2,2
0,0,0,0,0,0,0,15,0,0
0,0,0,0,0,0,0,0,43,7
1,5,4,0,10,8,3,0,2,92

precision,recall,f1-measure
0.80,0.75,0.77
0.92,0.92,0.92
0.33,0.27,0.30
0.85,0.73,0.79
0.69,0.62,0.65
0.77,0.78,0.77
0.44,0.47,0.45
0.94,1.00,0.97
0.75,0.86,0.80
0.71,0.74,0.72

accuracy,macro-average f-1,weighted-average f1
0.77,0.72,0.77
